#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
 931000      1.57e-01    2.48e-01      3.88e-04    6.40e-04      6.62e-02    7.95e-02      5.35e-03    1.24e-02    1.3e-06
 932000      1.20e-01    1.65e-01      8.69e-05    1.77e-04      6.81e-02    8.50e-02      6.09e-03    9.46e-03    1.3e-06
 933000      1.63e-01    1.27e-01      3.96e-04    1.48e-04      7.46e-02    7.25e-02      3.61e-03    5.20e-03    1.3e-06
 934000      1.28e-01    1.86e-01      1.21e-04    4.52e-04      7.36e-02    8.01e-02      5.50e-03    6.07e-03    1.3e-06
 935000      2.73e-01    1.25e-01      7.57e-04    6.70e-05      8.15e-02    6.87e-02      1.21e-02    7.30e-03    1.2e-06
 936000      1.14e-01    2.00e-01      1.77e-05    5.69e-04      6.71e-02    7.23e-02      5.79e-03    5.08e-03    1.2e-06
 937000      1.36e-01    1.51e-01      7.89e-05    2.08e-04      7.09e-02    7.67e-02      8.73e-03    8.28e-03    1.2e-06
 938000      1.36e-01    1.35e-01      3.01e-04    2.40e-04      6.36e-02    7.22e-02      4.90e-03    4.51e-03    1.2e-06
 939000      1.31e-01    1.44e-01      1.29e-04    2.02e-04      7.71e-02    7.58e-02      5.36e-03    7.16e-03    1.2e-06
 940000      1.18e-01    1.36e-01      2.12e-05    1.87e-04      7.27e-02    6.86e-02      5.13e-03    7.67e-03    1.2e-06
 941000      1.28e-01    2.50e-01      1.32e-04    7.49e-04      7.84e-02    8.15e-02      4.15e-03    5.27e-03    1.2e-06
 942000      1.55e-01    1.22e-01      3.32e-04    1.28e-04      7.74e-02    6.99e-02      4.82e-03    5.56e-03    1.2e-06
 943000      2.58e-01    1.27e-01      8.01e-04    9.27e-05      7.59e-02    6.92e-02      4.51e-03    7.46e-03    1.2e-06
 944000      1.69e-01    1.52e-01      3.47e-04    2.83e-04      6.98e-02    8.15e-02      9.46e-03    4.80e-03    1.2e-06
 945000      1.55e-01    1.43e-01      3.12e-04    5.89e-05      7.65e-02    8.00e-02      6.44e-03    8.48e-03    1.1e-06
 946000      1.25e-01    1.78e-01      5.53e-05    4.16e-04      7.43e-02    7.86e-02      6.19e-03    7.12e-03    1.1e-06
 947000      1.10e-01    1.30e-01      4.11e-05    1.82e-04      7.01e-02    6.86e-02      3.96e-03    6.90e-03    1.1e-06
 948000      2.68e-01    1.93e-01      8.31e-04    4.25e-04      7.96e-02    8.52e-02      4.96e-03    8.88e-03    1.1e-06
 949000      1.71e-01    1.60e-01      4.13e-04    3.69e-04      7.31e-02    6.96e-02      6.66e-03    6.96e-03    1.1e-06
 950000      1.15e-01    1.57e-01      9.48e-05    9.87e-05      6.58e-02    8.87e-02      6.18e-03    8.93e-03    1.1e-06
 951000      1.64e-01    1.73e-01      3.54e-04    4.35e-04      6.78e-02    7.74e-02      8.86e-03    4.72e-03    1.1e-06
 952000      1.38e-01    1.14e-01      1.23e-04    9.83e-05      7.07e-02    7.32e-02      8.99e-03    3.20e-03    1.1e-06
 953000      1.66e-01    1.49e-01      3.93e-04    3.05e-04      7.75e-02    6.94e-02      5.18e-03    7.18e-03    1.1e-06
 954000      1.33e-01    2.21e-01      4.40e-05    6.29e-04      7.94e-02    7.52e-02      6.85e-03    7.48e-03    1.1e-06
 955000      2.66e-01    1.36e-01      8.33e-04    2.22e-04      7.02e-02    7.69e-02      7.13e-03    5.07e-03    1.1e-06
 956000      2.40e-01    1.48e-01      7.37e-04    2.05e-04      7.65e-02    8.12e-02      3.81e-03    7.50e-03    1.1e-06
 957000      1.32e-01    1.31e-01      9.15e-05    2.67e-05      7.75e-02    8.01e-02      6.98e-03    6.62e-03    1.1e-06
 958000      2.27e-01    3.14e-01      6.46e-04    9.52e-04      7.88e-02    8.66e-02      7.56e-03    1.04e-02    1.1e-06
 959000      1.78e-01    1.66e-01      4.97e-04    3.53e-04      6.56e-02    8.20e-02      5.77e-03    6.40e-03    1.1e-06
 960000      2.18e-01    1.30e-01      6.50e-04    2.37e-04      7.71e-02    6.66e-02      3.98e-03    6.10e-03    1.0e-06
 961000      1.38e-01    1.10e-01      2.01e-04    9.32e-06      7.00e-02    6.92e-02      8.09e-03    5.09e-03    1.0e-06
 962000      1.63e-01    1.28e-01      8.62e-05    2.29e-05      7.56e-02    7.97e-02      1.27e-02    6.32e-03    1.0e-06
 963000      1.94e-01    1.74e-01      5.60e-04    2.16e-04      6.99e-02    7.22e-02      5.34e-03    1.33e-02    1.0e-06
 964000      1.31e-01    1.78e-01      1.33e-04    3.65e-04      8.04e-02    8.77e-02      5.42e-03    7.69e-03    1.0e-06
 965000      1.01e-01    1.77e-01      1.51e-05    3.95e-04      6.95e-02    7.53e-02      2.70e-03    9.10e-03    9.9e-07
 966000      1.35e-01    1.44e-01      1.74e-04    2.78e-05      8.14e-02    7.74e-02      5.40e-03    9.88e-03    9.9e-07
 967000      1.19e-01    2.12e-01      1.43e-05    6.41e-04      6.79e-02    7.17e-02      7.41e-03    4.34e-03    9.9e-07
 968000      1.35e-01    2.13e-01      2.03e-04    6.02e-04      7.44e-02    7.56e-02      6.70e-03    7.39e-03    9.9e-07
 969000      1.14e-01    1.08e-01      1.01e-06    1.31e-04      7.71e-02    6.72e-02      3.63e-03    3.67e-03    9.9e-07
 970000      1.26e-01    1.45e-01      2.12e-04    4.09e-05      6.65e-02    6.69e-02      6.34e-03    1.17e-02    9.5e-07
 971000      1.56e-01    1.24e-01      3.43e-04    1.65e-04      8.10e-02    7.94e-02      4.80e-03    3.31e-03    9.5e-07
 972000      1.52e-01    1.26e-01      3.83e-04    1.64e-04      6.78e-02    7.47e-02      5.07e-03    5.70e-03    9.5e-07
 973000      1.38e-01    1.77e-01      1.66e-04    4.17e-04      7.80e-02    6.72e-02      7.49e-03    9.71e-03    9.5e-07
 974000      1.33e-01    1.34e-01      1.88e-04    1.14e-04      7.58e-02    7.78e-02      6.34e-03    7.64e-03    9.5e-07
 975000      1.22e-01    1.83e-01      1.38e-05    3.66e-04      7.39e-02    6.89e-02      6.99e-03    1.24e-02    9.2e-07
 976000      1.29e-01    1.13e-01      1.05e-04    1.95e-05      7.82e-02    6.91e-02      6.75e-03    6.27e-03    9.2e-07
 977000      1.08e-01    1.99e-01      5.33e-05    5.25e-04      6.99e-02    7.76e-02      4.82e-03    8.10e-03    9.2e-07
 978000      1.26e-01    1.07e-01      1.23e-04    1.43e-04      7.27e-02    6.26e-02      7.23e-03    4.98e-03    9.2e-07
 979000      2.25e-01    1.44e-01      6.95e-04    1.97e-04      7.14e-02    7.60e-02      4.59e-03    8.57e-03    9.2e-07
 980000      2.14e-01    1.10e-01      5.46e-04    5.09e-05      7.65e-02    7.46e-02      1.10e-02    3.93e-03    8.9e-07
 981000      2.58e-01    1.18e-01      7.96e-04    1.69e-04      7.06e-02    7.37e-02      8.10e-03    3.92e-03    8.9e-07
 982000      1.88e-01    1.18e-01      4.50e-04    1.12e-04      8.15e-02    7.41e-02      8.68e-03    5.41e-03    8.9e-07
 983000      2.02e-01    1.84e-01      5.79e-04    3.54e-04      6.99e-02    8.55e-02      7.14e-03    1.06e-02    8.9e-07
 984000      2.45e-01    1.47e-01      7.48e-04    1.50e-04      8.01e-02    8.00e-02      5.39e-03    9.33e-03    8.9e-07
 985000      1.20e-01    1.97e-01      1.11e-04    5.78e-04      7.58e-02    6.93e-02      5.50e-03    5.49e-03    8.6e-07
 986000      1.80e-01    1.11e-01      5.02e-04    1.92e-05      7.37e-02    6.81e-02      4.51e-03    6.50e-03    8.6e-07
 987000      1.18e-01    1.15e-01      9.99e-05    2.15e-05      7.50e-02    7.59e-02      5.47e-03    5.44e-03    8.6e-07
 988000      1.45e-01    1.61e-01      2.52e-04    3.85e-04      8.03e-02    7.46e-02      6.65e-03    6.27e-03    8.6e-07
 989000      1.38e-01    1.23e-01      3.15e-04    1.30e-04      6.77e-02    7.49e-02      5.43e-03    6.08e-03    8.6e-07
 990000      1.93e-01    1.36e-01      5.42e-04    2.12e-04      7.53e-02    7.86e-02      5.87e-03    6.30e-03    8.3e-07
 991000      1.00e-01    1.11e-01      9.10e-05    1.27e-04      6.76e-02    6.81e-02      3.45e-03    5.51e-03    8.3e-07
 992000      1.47e-01    1.37e-01      3.27e-04    2.74e-04      7.48e-02    7.38e-02      5.65e-03    5.70e-03    8.3e-07
 993000      1.41e-01    1.22e-01      1.74e-04    1.77e-05      7.75e-02    7.69e-02      8.62e-03    6.76e-03    8.3e-07
 994000      1.58e-01    1.38e-01      1.57e-04    2.95e-04      8.45e-02    7.60e-02      1.06e-02    4.23e-03    8.3e-07
 995000      1.27e-01    1.09e-01      9.21e-05    2.60e-05      7.34e-02    6.75e-02      8.10e-03    6.47e-03    8.0e-07
 996000      1.22e-01    1.39e-01      1.72e-04    2.24e-04      7.58e-02    7.60e-02      5.00e-03    7.43e-03    8.0e-07
 997000      1.52e-01    1.61e-01      3.66e-04    3.93e-04      6.66e-02    7.46e-02      7.09e-03    6.36e-03    8.0e-07
 998000      1.58e-01    1.36e-01      4.29e-04    1.62e-04      7.09e-02    7.43e-02      3.23e-03    8.59e-03    8.0e-07
 999000      1.12e-01    1.08e-01      1.61e-04    1.20e-04      6.82e-02    6.65e-02      4.97e-03    5.37e-03    8.0e-07
1000000      2.60e-01    1.30e-01      7.91e-04    2.22e-04      7.17e-02    6.87e-02      9.40e-03    7.30e-03    7.7e-07
1001000      1.66e-01    1.15e-01      3.75e-04    1.44e-04      7.63e-02    7.04e-02      8.20e-03    5.54e-03    7.7e-07
1002000      1.65e-01    1.16e-01      4.28e-04    7.58e-05      7.42e-02    6.66e-02      5.69e-03    7.74e-03    7.7e-07
1003000      1.30e-01    1.56e-01      2.06e-04    2.89e-04      7.12e-02    6.87e-02      7.25e-03    1.04e-02    7.7e-07
1004000      1.19e-01    1.32e-01      8.31e-05    8.31e-05      7.66e-02    7.45e-02      6.08e-03    9.07e-03    7.7e-07
1005000      1.56e-01    1.49e-01      3.74e-04    1.92e-04      8.13e-02    7.60e-02      4.02e-03    1.03e-02    7.4e-07
1006000      1.20e-01    1.57e-01      2.87e-05    3.66e-04      6.84e-02    7.64e-02      8.48e-03    6.61e-03    7.4e-07
1007000      2.26e-01    1.10e-01      5.73e-04    6.13e-05      8.19e-02    7.36e-02      1.22e-02    5.26e-03    7.4e-07
1008000      1.24e-01    1.28e-01      1.35e-04    2.55e-04      7.35e-02    7.21e-02      7.21e-03    4.83e-03    7.4e-07
1009000      1.31e-01    1.04e-01      1.06e-04    8.56e-05      7.24e-02    7.19e-02      9.07e-03    3.70e-03    7.4e-07
1010000      1.09e-01    1.54e-01      8.17e-05    4.06e-04      6.77e-02    6.30e-02      6.39e-03    6.47e-03    7.2e-07
1011000      1.29e-01    1.79e-01      2.09e-04    2.20e-04      7.06e-02    8.07e-02      7.27e-03    1.39e-02    7.2e-07
1012000      2.29e-01    1.43e-01      7.06e-04    2.57e-04      7.52e-02    8.79e-02      5.22e-03    4.74e-03    7.2e-07
1013000      1.20e-01    1.36e-01      2.36e-04    1.53e-04      6.46e-02    7.90e-02      5.59e-03    8.27e-03    7.2e-07
1014000      1.23e-01    1.00e-01      1.53e-04    3.49e-05      7.54e-02    6.98e-02      6.39e-03    4.29e-03    7.2e-07
1015000      1.80e-01    1.48e-01      4.24e-04    3.15e-04      7.86e-02    6.72e-02      9.23e-03    8.60e-03    6.9e-07
1016000      1.21e-01    1.90e-01      6.25e-05    5.03e-04      7.66e-02    7.88e-02      7.10e-03    7.73e-03    6.9e-07
1017000      2.02e-01    1.15e-01      6.11e-04    1.55e-04      7.15e-02    7.86e-02      4.63e-03    2.88e-03    6.9e-07
1018000      1.53e-01    1.17e-01      3.20e-04    2.35e-04      8.40e-02    6.53e-02      5.98e-03    4.82e-03    6.9e-07
1019000      1.19e-01    1.18e-01      1.31e-04    8.94e-05      8.23e-02    8.21e-02      3.89e-03    4.51e-03    6.9e-07
1020000      3.82e-01    1.49e-01      1.22e-03    5.85e-05      7.22e-02    6.68e-02      1.44e-02    1.29e-02    6.7e-07
1021000      2.70e-01    3.18e-01      8.84e-04    1.07e-03      7.00e-02    6.69e-02      4.48e-03    4.65e-03    6.7e-07
1022000      1.16e-01    1.58e-01      3.96e-05    3.52e-04      7.73e-02    7.83e-02      6.19e-03    7.30e-03    6.7e-07
1023000      1.21e-01    1.23e-01      3.69e-05    1.98e-04      8.00e-02    7.60e-02      6.61e-03    5.14e-03    6.7e-07
1024000      1.16e-01    1.45e-01      1.27e-04    3.19e-04      6.77e-02    7.52e-02      7.29e-03    6.34e-03    6.7e-07
1025000      1.67e-01    1.54e-01      4.77e-04    3.82e-04      6.43e-02    7.98e-02      5.65e-03    4.06e-03    6.4e-07
1026000      1.18e-01    1.15e-01      6.51e-05    2.05e-04      7.62e-02    7.05e-02      6.76e-03    4.34e-03    6.4e-07
1027000      1.50e-01    1.54e-01      3.23e-05    4.32e-04      8.38e-02    6.20e-02      1.13e-02    5.15e-03    6.4e-07
1028000      1.65e-01    1.10e-01      4.15e-04    9.69e-05      7.17e-02    7.74e-02      7.46e-03    4.31e-03    6.4e-07
1029000      1.22e-01    1.34e-01      1.79e-04    8.64e-05      7.77e-02    8.25e-02      5.36e-03    8.45e-03    6.4e-07
1030000      1.56e-01    1.43e-01      1.68e-04    1.60e-04      8.50e-02    6.60e-02      1.10e-02    1.15e-02    6.2e-07
1031000      9.64e-02    1.15e-01      6.57e-05    9.35e-05      7.02e-02    7.15e-02      3.34e-03    7.01e-03    6.2e-07
1032000      1.10e-01    2.42e-01      5.28e-06    6.82e-04      7.83e-02    8.32e-02      5.02e-03    1.05e-02    6.2e-07
1033000      1.24e-01    1.18e-01      5.65e-05    2.11e-04      8.27e-02    7.10e-02      6.83e-03    5.15e-03    6.2e-07
1034000      1.44e-01    1.76e-01      2.00e-04    4.41e-04      6.77e-02    7.61e-02      1.08e-02    8.36e-03    6.2e-07
1035000      3.39e-01    1.55e-01      1.10e-03    3.11e-04      7.53e-02    6.75e-02      1.00e-02    1.02e-02    6.0e-07
1036000      1.41e-01    2.08e-01      2.66e-04    5.89e-04      6.82e-02    7.92e-02      8.92e-03    7.66e-03    6.0e-07
1037000      1.68e-01    1.43e-01      4.30e-04    2.15e-04      7.44e-02    7.98e-02      7.05e-03    8.68e-03    6.0e-07
1038000      1.25e-01    1.22e-01      1.77e-04    1.07e-04      6.84e-02    7.89e-02      8.03e-03    6.89e-03    6.0e-07
1039000      1.21e-01    1.19e-01      1.27e-04    1.53e-04      7.75e-02    6.90e-02      6.68e-03    7.35e-03    6.0e-07
1040000      1.35e-01    1.11e-01      2.18e-04    5.44e-05      7.46e-02    7.49e-02      8.12e-03    6.13e-03    5.8e-07
1041000      1.88e-01    1.48e-01      5.46e-04    3.33e-04      7.41e-02    7.78e-02      5.57e-03    6.33e-03    5.8e-07
1042000      1.62e-01    1.54e-01      3.44e-04    4.59e-04      7.85e-02    6.22e-02      9.01e-03    2.84e-03    5.8e-07
1043000      1.18e-01    1.48e-01      1.23e-04    3.69e-04      6.84e-02    7.62e-02      7.79e-03    4.48e-03    5.8e-07
1044000      1.72e-01    1.07e-01      4.84e-04    2.22e-05      7.25e-02    7.37e-02      5.37e-03    5.69e-03    5.8e-07
1045000      1.04e-01    1.12e-01      7.37e-05    2.50e-05      7.77e-02    7.10e-02      3.43e-03    7.35e-03    5.6e-07
1046000      9.73e-02    1.33e-01      1.23e-04    2.79e-04      7.00e-02    7.26e-02      2.70e-03    6.19e-03    5.6e-07
1047000      1.41e-01    1.57e-01      2.74e-04    3.80e-04      7.00e-02    7.70e-02      8.50e-03    6.57e-03    5.6e-07
1048000      1.62e-01    1.06e-01      3.87e-04    7.09e-05      7.94e-02    7.62e-02      6.97e-03    4.60e-03    5.6e-07
1049000      1.10e-01    2.04e-01      9.47e-05    5.75e-04      7.56e-02    9.18e-02      5.46e-03    4.22e-03    5.6e-07
1050000      1.27e-01    1.44e-01      7.08e-05    3.16e-04      8.84e-02    7.84e-02      6.55e-03    6.14e-03    5.4e-07
1051000      1.75e-01    1.85e-01      4.40e-04    5.32e-04      7.48e-02    7.59e-02      8.71e-03    5.26e-03    5.4e-07
1052000      1.09e-01    1.38e-01      7.04e-06    1.67e-04      7.05e-02    8.38e-02      7.05e-03    8.39e-03    5.4e-07
1053000      1.64e-01    1.07e-01      4.59e-04    1.81e-04      6.66e-02    7.06e-02      5.86e-03    3.78e-03    5.4e-07
1054000      1.37e-01    1.18e-01      3.46e-04    1.39e-04      7.41e-02    6.90e-02      2.50e-03    7.72e-03    5.4e-07
1055000      1.48e-01    2.27e-01      1.55e-04    6.25e-04      8.00e-02    8.82e-02      1.09e-02    9.88e-03    5.2e-07
1056000      1.33e-01    1.31e-01      2.19e-04    2.57e-04      8.06e-02    7.04e-02      6.84e-03    7.20e-03    5.2e-07
1057000      1.74e-01    9.88e-02      4.92e-04    1.29e-04      7.48e-02    6.91e-02      5.14e-03    3.68e-03    5.2e-07
1058000      1.11e-01    2.98e-01      9.44e-05    9.70e-04      7.30e-02    7.43e-02      6.46e-03    6.86e-03    5.2e-07
1059000      1.26e-01    1.16e-01      5.25e-05    6.80e-05      8.76e-02    7.46e-02      6.89e-03    7.36e-03    5.2e-07
1060000      2.06e-01    1.10e-01      5.82e-04    3.43e-05      7.18e-02    7.70e-02      9.20e-03    6.03e-03    5.0e-07
1061000      1.63e-01    1.21e-01      3.63e-04    2.17e-04      7.01e-02    7.24e-02      1.00e-02    5.99e-03    5.0e-07
1062000      1.15e-01    9.90e-02      1.68e-04    6.63e-05      6.64e-02    6.81e-02      7.05e-03    5.41e-03    5.0e-07
1063000      1.22e-01    1.35e-01      1.10e-04    2.22e-04      6.86e-02    8.16e-02      9.01e-03    7.09e-03    5.0e-07
1064000      9.73e-02    1.28e-01      5.15e-05    2.20e-04      6.97e-02    7.03e-02      4.79e-03    7.70e-03    5.0e-07
1065000      1.75e-01    1.96e-01      4.90e-04    5.63e-04      7.06e-02    8.49e-02      6.84e-03    5.10e-03    4.8e-07
1066000      2.54e-01    1.12e-01      8.19e-04    6.50e-05      7.74e-02    8.52e-02      3.95e-03    4.23e-03    4.8e-07
1067000      1.20e-01    1.07e-01      2.64e-04    3.48e-05      6.36e-02    7.46e-02      5.76e-03    6.15e-03    4.8e-07
1068000      1.56e-01    1.28e-01      3.99e-04    1.81e-04      7.95e-02    7.65e-02      4.95e-03    7.64e-03    4.8e-07
1069000      1.49e-01    1.16e-01      3.61e-04    6.16e-05      7.57e-02    8.34e-02      6.03e-03    5.74e-03    4.8e-07
1070000      1.54e-01    1.51e-01      3.45e-04    3.42e-04      8.19e-02    8.35e-02      7.05e-03    6.05e-03    4.7e-07
1071000      1.32e-01    1.19e-01      3.34e-04    2.12e-04      7.12e-02    7.84e-02      3.19e-03    4.09e-03    4.7e-07
1072000      1.77e-01    1.26e-01      5.12e-04    2.19e-04      7.20e-02    7.00e-02      5.51e-03    7.53e-03    4.7e-07
1073000      1.22e-01    1.49e-01      2.53e-04    4.22e-04      7.52e-02    6.99e-02      4.06e-03    2.63e-03    4.7e-07
1074000      1.30e-01    9.87e-02      2.89e-04    1.04e-04      7.53e-02    7.45e-02      4.62e-03    2.97e-03    4.7e-07
1075000      1.15e-01    1.28e-01      9.13e-05    2.47e-04      7.40e-02    7.84e-02      7.35e-03    5.58e-03    4.5e-07
1076000      1.31e-01    8.92e-02      2.08e-04    3.15e-05      7.83e-02    6.72e-02      7.45e-03    3.96e-03    4.5e-07
1077000      1.22e-01    1.25e-01      2.13e-04    1.96e-04      7.67e-02    6.75e-02      5.55e-03    8.39e-03    4.5e-07
1078000      1.22e-01    2.00e-01      1.22e-04    6.09e-04      7.40e-02    6.76e-02      8.16e-03    6.18e-03    4.5e-07
1079000      1.21e-01    1.10e-01      2.17e-04    5.00e-06      7.18e-02    7.48e-02      6.31e-03    6.92e-03    4.5e-07
1080000      1.98e-01    1.38e-01      5.43e-04    6.21e-05      7.65e-02    7.54e-02      9.14e-03    1.12e-02    4.3e-07
1081000      1.82e-01    1.87e-01      4.34e-04    5.09e-04      8.67e-02    6.76e-02      9.24e-03    9.32e-03    4.3e-07
1082000      1.00e-01    1.34e-01      2.58e-05    1.35e-04      6.94e-02    7.64e-02      6.05e-03    9.83e-03    4.3e-07
1083000      1.21e-01    1.13e-01      1.78e-04    9.20e-05      8.12e-02    6.92e-02      5.46e-03    7.86e-03    4.3e-07
1084000      1.08e-01    9.45e-02      1.61e-04    6.06e-06      6.06e-02    7.25e-02      7.11e-03    4.04e-03    4.3e-07
1085000      1.35e-01    1.84e-01      2.50e-04    5.04e-04      7.76e-02    7.96e-02      7.41e-03    7.28e-03    4.2e-07
1086000      1.66e-01    1.66e-01      4.44e-04    3.84e-04      8.51e-02    6.68e-02      3.91e-03    1.05e-02    4.2e-07
1087000      2.42e-01    1.04e-01      7.75e-04    1.79e-04      7.88e-02    6.62e-02      3.47e-03    4.96e-03    4.2e-07
1088000      1.57e-01    9.85e-02      3.46e-04    8.35e-05      7.42e-02    7.26e-02      9.15e-03    4.44e-03    4.2e-07
1089000      1.23e-01    1.17e-01      2.69e-04    7.70e-05      7.41e-02    7.01e-02      4.25e-03    8.59e-03    4.2e-07
1090000      1.01e-01    1.05e-01      1.39e-04    2.31e-05      6.77e-02    7.52e-02      5.16e-03    6.07e-03    4.0e-07
1091000      1.07e-01    1.09e-01      1.33e-04    8.06e-05      7.06e-02    7.55e-02      5.94e-03    6.41e-03    4.0e-07
1092000      1.43e-01    1.53e-01      3.28e-04    3.47e-04      6.81e-02    7.42e-02      7.79e-03    8.28e-03    4.0e-07
1093000      1.17e-01    1.18e-01      2.29e-04    1.63e-04      7.51e-02    7.52e-02      4.26e-03    6.71e-03    4.0e-07
1094000      1.16e-01    1.37e-01      7.28e-05    2.41e-04      7.86e-02    6.74e-02      7.24e-03    9.51e-03    4.0e-07
1095000      2.17e-01    2.36e-01      6.78e-04    7.47e-04      7.74e-02    7.91e-02      4.28e-03    4.86e-03    3.9e-07
1096000      1.01e-01    1.18e-01      1.12e-04    1.99e-04      7.22e-02    7.61e-02      4.90e-03    5.58e-03    3.9e-07
1097000      1.65e-01    2.03e-01      4.03e-04    5.36e-04      7.16e-02    8.32e-02      9.11e-03    1.00e-02    3.9e-07
1098000      9.46e-02    1.25e-01      6.72e-05    2.04e-04      6.86e-02    7.71e-02      4.92e-03    6.79e-03    3.9e-07
1099000      1.34e-01    1.22e-01      3.28e-05    2.36e-04      9.10e-02    7.79e-02      8.74e-03    4.73e-03    3.9e-07
1100000      1.00e-01    1.84e-01      9.37e-05    5.12e-04      6.65e-02    8.37e-02      6.18e-03    6.04e-03    3.8e-07
1101000      1.38e-01    1.16e-01      3.18e-04    2.33e-04      7.90e-02    7.15e-02      5.16e-03    4.87e-03    3.8e-07
1102000      1.75e-01    1.06e-01      5.27e-04    3.08e-05      7.10e-02    6.73e-02      3.74e-03    7.62e-03    3.8e-07
1103000      1.05e-01    9.40e-02      1.39e-04    2.12e-05      7.49e-02    7.05e-02      4.69e-03    4.81e-03    3.8e-07
1104000      1.04e-01    1.16e-01      4.53e-05    2.08e-05      7.50e-02    7.74e-02      5.81e-03    7.88e-03    3.8e-07
1105000      1.10e-01    1.30e-01      7.17e-05    2.94e-04      7.38e-02    7.61e-02      7.06e-03    4.83e-03    3.6e-07
1106000      1.07e-01    9.60e-02      1.22e-05    6.92e-05      7.94e-02    6.90e-02      5.85e-03    5.28e-03    3.6e-07
1107000      1.35e-01    1.22e-01      1.64e-04    2.79e-04      7.45e-02    6.87e-02      1.00e-02    5.04e-03    3.6e-07
1108000      1.28e-01    1.31e-01      2.30e-04    2.23e-04      8.96e-02    8.32e-02      3.57e-03    6.66e-03    3.6e-07
1109000      1.12e-01    1.54e-01      1.98e-04    3.52e-04      7.59e-02    7.67e-02      4.17e-03    8.23e-03    3.6e-07
1110000      1.96e-01    1.43e-01      5.43e-04    2.56e-04      9.28e-02    7.37e-02      6.06e-03    9.61e-03    3.5e-07
1111000      1.28e-01    1.48e-01      2.35e-04    3.49e-04      8.10e-02    7.11e-02      5.98e-03    7.96e-03    3.5e-07
1112000      1.46e-01    1.15e-01      3.41e-04    3.73e-05      8.56e-02    7.20e-02      5.08e-03    8.61e-03    3.5e-07
1113000      1.17e-01    1.58e-01      1.55e-04    4.50e-04      6.92e-02    6.87e-02      7.99e-03    5.16e-03    3.5e-07
1114000      1.23e-01    1.83e-01      2.74e-04    5.18e-04      6.81e-02    7.22e-02      5.74e-03    7.62e-03    3.5e-07
1115000      9.99e-02    1.16e-01      7.40e-05    2.03e-04      6.92e-02    7.35e-02      6.12e-03    5.88e-03    3.4e-07
1116000      1.26e-01    1.24e-01      2.46e-04    1.69e-05      7.80e-02    7.23e-02      5.91e-03    9.97e-03    3.4e-07
1117000      1.14e-01    1.49e-01      2.33e-04    3.67e-04      7.17e-02    7.96e-02      4.41e-03    5.87e-03    3.4e-07
1118000      1.27e-01    1.52e-01      2.46e-04    3.88e-04      7.84e-02    7.81e-02      5.98e-03    5.85e-03    3.4e-07
1119000      1.74e-01    1.47e-01      4.89e-04    3.67e-04      8.17e-02    7.57e-02      4.94e-03    6.17e-03    3.4e-07
1120000      1.08e-01    1.81e-01      4.91e-05    5.04e-04      7.82e-02    6.95e-02      6.40e-03    8.21e-03    3.3e-07
1121000      2.46e-01    9.92e-02      7.45e-04    9.48e-05      7.90e-02    7.00e-02      9.44e-03    5.59e-03    3.3e-07
1122000      9.46e-02    1.19e-01      5.65e-05    2.93e-04      6.99e-02    6.59e-02      5.15e-03    4.24e-03    3.3e-07
1123000      1.15e-01    1.21e-01      1.57e-04    2.92e-04      8.22e-02    6.29e-02      5.32e-03    5.50e-03    3.3e-07
1124000      8.15e-02    1.32e-01      2.16e-05    3.20e-04      6.57e-02    7.11e-02      3.25e-03    5.36e-03    3.3e-07
1125000      9.86e-02    1.31e-01      1.14e-04    2.45e-04      6.92e-02    8.60e-02      5.32e-03    5.55e-03    3.1e-07
1126000      1.03e-01    1.88e-01      1.06e-04    5.39e-04      6.40e-02    7.19e-02      7.11e-03    7.63e-03    3.1e-07
1127000      1.92e-01    9.93e-02      5.64e-04    3.54e-05      7.62e-02    7.67e-02      6.47e-03    4.92e-03    3.1e-07
1128000      9.97e-02    8.55e-02      9.96e-05    8.16e-05      7.18e-02    6.77e-02      5.32e-03    3.00e-03    3.1e-07
1129000      1.15e-01    1.26e-01      1.66e-04    1.98e-04      7.80e-02    7.29e-02      5.98e-03    8.27e-03    3.1e-07
1130000      1.27e-01    1.29e-01      3.21e-05    2.84e-04      8.14e-02    7.75e-02      9.48e-03    5.21e-03    3.0e-07
1131000      1.08e-01    1.22e-01      2.02e-04    2.63e-04      6.85e-02    7.39e-02      5.06e-03    5.01e-03    3.0e-07
1132000      1.38e-01    1.41e-01      2.16e-04    2.03e-04      7.97e-02    6.94e-02      9.24e-03    1.11e-02    3.0e-07
1133000      9.52e-02    1.42e-01      7.80e-05    3.54e-04      7.14e-02    7.57e-02      4.81e-03    5.69e-03    3.0e-07
1134000      1.02e-01    1.02e-01      2.06e-05    2.15e-05      7.18e-02    7.31e-02      6.60e-03    6.36e-03    3.0e-07
1135000      2.16e-01    1.15e-01      6.21e-04    1.90e-05      7.81e-02    7.80e-02      9.58e-03    7.91e-03    2.9e-07
1136000      1.31e-01    1.44e-01      1.65e-04    3.71e-04      7.85e-02    7.45e-02      9.12e-03    5.36e-03    2.9e-07
1137000      1.16e-01    1.73e-01      4.82e-05    5.14e-04      7.25e-02    7.29e-02      8.88e-03    4.29e-03    2.9e-07
