#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
  46000      2.26e+00    2.19e+00      1.99e-04    5.30e-04      7.66e-02    7.28e-02      1.21e-02    1.29e-02    7.2e-04
  47000      2.53e+00    2.21e+00      3.72e-03    3.41e-03      8.17e-02    7.16e-02      1.45e-02    1.25e-02    7.2e-04
  48000      2.77e+00    2.59e+00      3.81e-03    2.82e-03      8.93e-02    8.10e-02      1.63e-02    1.74e-02    7.2e-04
  49000      2.54e+00    2.49e+00      4.96e-03    3.64e-03      8.85e-02    8.47e-02      6.41e-03    1.11e-02    7.2e-04
  50000      2.54e+00    2.59e+00      5.99e-03    5.00e-03      8.29e-02    8.94e-02      1.17e-02    9.60e-03    7.0e-04
  51000      2.20e+00    2.44e+00      2.62e-03    6.76e-05      7.22e-02    8.02e-02      1.34e-02    1.59e-02    7.0e-04
  52000      2.20e+00    1.93e+00      2.41e-03    1.43e-03      7.46e-02    6.89e-02      1.19e-02    8.09e-03    7.0e-04
  53000      2.67e+00    2.39e+00      9.05e-05    1.60e-03      9.50e-02    8.11e-02      1.21e-02    1.36e-02    7.0e-04
  54000      2.36e+00    2.40e+00      3.53e-03    1.81e-03      8.43e-02    8.79e-02      7.42e-03    7.07e-03    7.0e-04
  55000      2.24e+00    2.00e+00      3.39e-03    1.75e-03      7.64e-02    7.55e-02      1.17e-02    4.07e-03    6.7e-04
  56000      2.33e+00    2.50e+00      1.11e-03    5.88e-04      8.18e-02    8.47e-02      1.29e-02    1.61e-02    6.7e-04
  57000      2.56e+00    2.61e+00      2.94e-03    9.64e-04      7.68e-02    8.27e-02      2.06e-02    1.99e-02    6.7e-04
  58000      2.66e+00    2.22e+00      2.80e-03    3.06e-03      7.15e-02    7.92e-02      2.50e-02    8.94e-03    6.7e-04
  59000      2.20e+00    2.06e+00      1.72e-03    1.85e-03      8.12e-02    7.37e-02      7.47e-03    9.43e-03    6.7e-04
  60000      2.17e+00    2.34e+00      9.98e-04    1.88e-03      7.56e-02    7.95e-02      1.33e-02    1.53e-02    6.5e-04
  61000      2.32e+00    2.39e+00      1.06e-03    4.80e-04      8.57e-02    8.14e-02      1.05e-02    1.63e-02    6.5e-04
  62000      1.95e+00    1.86e+00      3.11e-04    9.59e-05      7.06e-02    6.87e-02      1.03e-02    8.47e-03    6.5e-04
  63000      2.13e+00    2.17e+00      2.47e-03    7.21e-04      7.70e-02    8.18e-02      9.64e-03    8.17e-03    6.5e-04
  64000      2.27e+00    2.39e+00      1.88e-03    3.06e-04      7.45e-02    8.57e-02      1.66e-02    1.31e-02    6.5e-04
  65000      2.25e+00    2.26e+00      3.31e-03    2.65e-03      6.88e-02    8.29e-02      1.84e-02    1.06e-02    6.3e-04
  66000      2.16e+00    2.13e+00      1.73e-04    1.18e-03      7.34e-02    7.52e-02      1.59e-02    1.37e-02    6.3e-04
  67000      2.30e+00    2.00e+00      2.29e-03    3.51e-03      8.35e-02    7.47e-02      1.23e-02    4.48e-03    6.3e-04
  68000      2.41e+00    2.14e+00      4.05e-03    2.96e-03      8.63e-02    7.98e-02      1.10e-02    7.97e-03    6.3e-04
  69000      2.13e+00    2.23e+00      1.20e-03    1.27e-03      8.04e-02    8.83e-02      9.15e-03    3.26e-03    6.3e-04
  70000      2.49e+00    1.87e+00      3.55e-03    2.37e-03      8.10e-02    6.88e-02      1.91e-02    9.50e-03    6.1e-04
  71000      2.19e+00    1.83e+00      1.49e-04    1.31e-03      8.15e-02    6.90e-02      1.23e-02    8.97e-03    6.1e-04
  72000      2.43e+00    1.95e+00      2.41e-04    4.65e-04      8.03e-02    6.80e-02      2.02e-02    1.43e-02    6.1e-04
  73000      1.69e+00    2.03e+00      1.61e-03    1.53e-03      6.52e-02    7.60e-02      6.53e-03    1.04e-02    6.1e-04
  74000      2.04e+00    2.07e+00      5.72e-04    6.42e-04      8.00e-02    7.22e-02      7.25e-03    1.51e-02    6.1e-04
  75000      2.13e+00    2.05e+00      4.75e-04    8.18e-04      8.25e-02    7.76e-02      1.08e-02    1.17e-02    5.8e-04
  76000      1.86e+00    2.16e+00      8.33e-04    1.43e-03      7.24e-02    8.41e-02      9.04e-03    9.79e-03    5.8e-04
  77000      2.11e+00    2.04e+00      3.11e-03    1.01e-03      7.74e-02    7.93e-02      1.16e-02    9.68e-03    5.8e-04
  78000      2.14e+00    1.87e+00      1.78e-03    1.71e-03      7.86e-02    7.46e-02      1.34e-02    5.40e-03    5.8e-04
  79000      2.23e+00    1.96e+00      1.02e-03    1.55e-03      8.19e-02    7.34e-02      1.45e-02    1.14e-02    5.8e-04
  80000      2.22e+00    2.02e+00      1.13e-03    5.46e-06      8.11e-02    7.69e-02      1.59e-02    1.27e-02    5.6e-04
  81000      2.30e+00    2.09e+00      3.40e-03    2.25e-03      8.07e-02    6.62e-02      1.61e-02    1.94e-02    5.6e-04
  82000      2.34e+00    1.79e+00      5.08e-04    1.34e-03      8.28e-02    6.65e-02      1.87e-02    1.19e-02    5.6e-04
